index,Country/Region,Confirmed,Deaths,Recovered,Active,New_cases,New_deaths,New_recovered,Deaths_/_100_Cases,Recovered_/_100_Cases,Deaths_/_100_Recovered,Confirmed_last_week,1_week_change,1_week_%_increase,WHO_Region,Total_cases,Death_Rate
46,Czechia,15516,373.0,11428,3715,192.0,2.0,0,2.4,73.65,3.26,14098,1418,10.06,Europe,15516.0,2.4039700953854086
47,Denmark,13761,613.0,12605,543,109.0,0.0,77,4.45,91.6,4.86,13453,308,2.29,Europe,13761.0,4.454618123682872
48,Djibouti,5059,58.0,4977,24,0.0,0.0,11,1.15,98.38,1.17,5020,39,0.78,Eastern Mediterranean,5059.0,1.1464716347104171
49,Dominica,18,3497.3262032085563,18,0,0.0,0.0,0,0.0,100.0,0.0,18,0,0.0,Americas,3515.3262032085563,19429.590017825314
50,Dominican Republic,64156,1083.0,30204,32869,1248.0,20.0,1601,1.69,47.08,3.59,53956,10200,18.9,Americas,64156.0,1.688072822495168
51,Ecuador,81161,5532.0,34896,40733,467.0,17.0,0,6.82,43.0,15.85,74620,6541,8.77,Americas,81161.0,6.8160816155542685
52,Egypt,92482,4652.0,34838,52992,420.0,46.0,1007,5.03,37.67,13.35,88402,4080,4.62,Eastern Mediterranean,92482.0,5.0301680326982545
53,El Salvador,15035,408.0,7778,6849,405.0,8.0,130,2.71,51.73,5.25,12207,2828,23.17,Americas,15035.0,2.7136681077485867
54,Equatorial Guinea,3071,51.0,842,2178,0.0,0.0,0,1.66,27.42,6.06,3071,0,0.0,Africa,3071.0,1.660696841419733
55,Eritrea,265,3497.3262032085563,191,74,2.0,0.0,2,0.0,72.08,0.0,251,14,5.58,Africa,3762.3262032085563,1319.7457370598324
56,Estonia,2034,69.0,1923,42,0.0,0.0,1,3.39,94.54,3.59,2021,13,0.64,Europe,2034.0,3.392330383480826
57,Eswatini,2316,34.0,1025,1257,109.0,2.0,39,1.47,44.26,3.32,1826,490,26.83,Africa,2316.0,1.468048359240069
58,Ethiopia,14547,228.0,6386,7933,579.0,5.0,170,1.57,43.9,3.57,10207,4340,42.52,Africa,14547.0,1.5673334708187256
59,Fiji,27,3497.3262032085563,18,9,0.0,0.0,0,0.0,66.67,0.0,27,0,0.0,Western Pacific,3524.3262032085563,12953.060011883543
60,Finland,7398,329.0,6920,149,5.0,0.0,0,4.45,93.54,4.75,7340,58,0.79,Europe,7398.0,4.447147877804812
61,France,220352,30212.0,81212,108928,2551.0,17.0,267,13.71,36.86,37.2,214023,6329,2.96,Europe,220352.0,13.71079000871333
62,Gabon,7189,49.0,4682,2458,205.0,0.0,219,0.68,65.13,1.05,6433,756,11.75,Africa,7189.0,0.6815968841285297
63,Gambia,326,8.0,66,252,49.0,2.0,6,2.45,20.25,12.12,112,214,191.07,Africa,326.0,2.4539877300613497
64,Georgia,1137,16.0,922,199,6.0,0.0,2,1.41,81.09,1.74,1039,98,9.43,Europe,1137.0,1.4072119613016711
65,Germany,207112,9125.0,190314,7673,445.0,1.0,259,4.41,91.89,4.79,203325,3787,1.86,Europe,207112.0,4.405828730348796
66,Ghana,33624,168.0,29801,3655,655.0,0.0,307,0.5,88.63,0.56,28430,5194,18.27,Africa,33624.0,0.4996431120628123
67,Greece,4227,202.0,1374,2651,34.0,0.0,0,4.78,32.51,14.7,4012,215,5.36,Europe,4227.0,4.778802933522592
68,Greenland,14,3497.3262032085563,13,1,1.0,0.0,0,0.0,92.86,0.0,13,1,7.69,Europe,3511.3262032085563,24980.901451489688
69,Grenada,23,3497.3262032085563,23,0,0.0,0.0,0,0.0,100.0,0.0,23,0,0.0,Americas,3520.3262032085563,15205.766100906765
70,Guatemala,45309,1761.0,32455,11093,256.0,27.0,843,3.89,71.63,5.43,39039,6270,16.06,Americas,45309.0,3.886645037409786
71,Guinea,7055,45.0,6257,753,47.0,2.0,105,0.64,88.69,0.72,6590,465,7.06,Africa,7055.0,0.6378454996456413
72,Guinea-Bissau,1954,26.0,803,1125,0.0,0.0,0,1.33,41.1,3.24,1949,5,0.26,Africa,1954.0,1.3306038894575232
73,Guyana,389,20.0,181,188,0.0,0.0,0,5.14,46.53,11.05,337,52,15.43,Americas,389.0,5.141388174807198
74,Haiti,7340,158.0,4365,2817,25.0,1.0,0,2.15,59.47,3.62,7053,287,4.07,Americas,7340.0,2.1525885558583107
75,Holy See,12,3497.3262032085563,12,0,0.0,0.0,0,0.0,100.0,0.0,12,0,0.0,Europe,3509.3262032085563,29144.385026737968
76,Honduras,39741,1166.0,5039,33536,465.0,50.0,117,2.93,12.68,23.14,34611,5130,14.82,Americas,39741.0,2.933997634684583
77,Hungary,4448,596.0,3329,523,13.0,0.0,0,13.4,74.84,17.9,4339,109,2.51,Europe,4448.0,13.399280575539569
78,Iceland,1854,10.0,1823,21,7.0,0.0,0,0.54,98.33,0.55,1839,15,0.82,Europe,1854.0,0.5393743257820928
79,India,1480073,33408.0,951166,495499,44457.0,637.0,33598,2.26,64.26,3.51,1155338,324735,28.11,South-East Asia,1480073.0,2.2571859631247917
80,Indonesia,100303,4838.0,58173,37292,1525.0,57.0,1518,4.82,58.0,8.32,88214,12089,13.7,South-East Asia,100303.0,4.82338514301666
81,Iran,293606,15912.0,255144,22550,2434.0,212.0,1931,5.42,86.9,6.24,276202,17404,6.3,Eastern Mediterranean,293606.0,5.419507775726654
82,Iraq,112585,4458.0,77144,30983,2553.0,96.0,1927,3.96,68.52,5.78,94693,17892,18.89,Eastern Mediterranean,112585.0,3.9596749122884933
83,Ireland,25892,1764.0,23364,764,11.0,0.0,0,6.81,90.24,7.55,25766,126,0.49,Europe,25892.0,6.812915186157886
84,Israel,63985,474.0,27133,36378,2029.0,4.0,108,0.74,42.41,1.75,52003,11982,23.04,Europe,63985.0,0.7407986246776588
85,Italy,246286,35112.0,198593,12581,168.0,5.0,147,14.26,80.64,17.68,244624,1662,0.68,Europe,246286.0,14.256595990027854
86,Jamaica,853,10.0,714,129,11.0,0.0,0,1.17,83.7,1.4,809,44,5.44,Americas,853.0,1.1723329425556859
87,Japan,31142,998.0,21970,8174,594.0,0.0,364,3.2,70.55,4.54,25706,5436,21.15,Western Pacific,31142.0,3.2046753580373775
88,Jordan,1176,11.0,1041,124,8.0,0.0,0,0.94,88.52,1.06,1223,-47,-3.84,Eastern Mediterranean,1176.0,0.935374149659864
89,Kazakhstan,84648,585.0,54404,29659,1526.0,0.0,1833,0.69,64.27,1.08,73468,11180,15.22,Europe,84648.0,0.6910972497873547
90,Kenya,17975,285.0,7833,9857,372.0,5.0,90,1.59,43.58,3.64,13771,4204,30.53,Africa,17975.0,1.5855354659248957
91,Kosovo,7413,185.0,4027,3201,496.0,16.0,274,2.5,54.32,4.59,5877,1536,26.14,Europe,7413.0,2.495615810063402
92,Kuwait,64379,438.0,55057,8884,606.0,5.0,684,0.68,85.52,0.8,59763,4616,7.72,Eastern Mediterranean,64379.0,0.680346075583653
93,Kyrgyzstan,33296,1301.0,21205,10790,483.0,24.0,817,3.91,63.69,6.14,27143,6153,22.67,Europe,33296.0,3.9073762614127823
94,Laos,20,3497.3262032085563,19,1,0.0,0.0,0,0.0,95.0,0.0,19,1,5.26,Western Pacific,3517.3262032085563,17486.631016042782
95,Latvia,1219,31.0,1045,143,0.0,0.0,0,2.54,85.73,2.97,1192,27,2.27,Europe,1219.0,2.543068088597211
96,Lebanon,3882,51.0,1709,2122,132.0,0.0,17,1.31,44.02,2.98,2905,977,33.63,Eastern Mediterranean,3882.0,1.313755795981453
97,Lesotho,505,12.0,128,365,0.0,0.0,0,2.38,25.35,9.38,359,146,40.67,Africa,505.0,2.376237623762376
98,Liberia,1167,72.0,646,449,5.0,0.0,5,6.17,55.36,11.15,1107,60,5.42,Africa,1167.0,6.169665809768637
99,Libya,2827,64.0,577,2186,158.0,4.0,24,2.26,20.41,11.09,1980,847,42.78,Eastern Mediterranean,2827.0,2.2638839759462326
100,Liechtenstein,86,1.0,81,4,0.0,0.0,0,1.16,94.19,1.23,86,0,0.0,Europe,86.0,1.1627906976744187
101,Lithuania,2019,80.0,1620,319,11.0,0.0,4,3.96,80.24,4.94,1947,72,3.7,Europe,2019.0,3.96235760277365
102,Luxembourg,6321,112.0,4825,1384,49.0,0.0,178,1.77,76.33,2.32,5639,682,12.09,Europe,6321.0,1.7718715393133997
103,Madagascar,9690,91.0,6260,3339,395.0,6.0,681,0.94,64.6,1.45,7153,2537,35.47,Africa,9690.0,0.9391124871001032
104,Malawi,3664,99.0,1645,1920,24.0,0.0,6,2.7,44.9,6.02,2992,672,22.46,Africa,3664.0,2.7019650655021836
105,Malaysia,8904,124.0,8601,179,7.0,0.0,1,1.39,96.6,1.44,8800,104,1.18,Western Pacific,8904.0,1.3926325247079965
106,Maldives,3369,15.0,2547,807,67.0,0.0,19,0.45,75.6,0.59,2999,370,12.34,South-East Asia,3369.0,0.44523597506678536
107,Mali,2513,124.0,1913,476,3.0,1.0,2,4.93,76.12,6.48,2475,38,1.54,Africa,2513.0,4.934341424592121
108,Malta,701,9.0,665,27,1.0,0.0,0,1.28,94.86,1.35,677,24,3.55,Europe,701.0,1.2838801711840229
109,Mauritania,6208,156.0,4653,1399,37.0,0.0,223,2.51,74.95,3.35,5923,285,4.81,Africa,6208.0,2.5128865979381443
110,Mauritius,344,10.0,332,2,0.0,0.0,0,2.91,96.51,3.01,343,1,0.29,Africa,344.0,2.9069767441860463
111,Mexico,395489,44022.0,303810,47657,4973.0,342.0,8588,11.13,76.82,14.49,349396,46093,13.19,Americas,395489.0,11.131030193001576
112,Moldova,23154,748.0,16154,6252,0.0,0.0,245,3.23,69.77,4.63,21115,2039,9.66,Europe,23154.0,3.2305433186490458
113,Monaco,116,4.0,104,8,0.0,0.0,0,3.45,89.66,3.85,109,7,6.42,Europe,116.0,3.4482758620689653
114,Mongolia,289,3497.3262032085563,222,67,1.0,0.0,4,0.0,76.82,0.0,287,2,0.7,Western Pacific,3786.3262032085563,1210.14747515867
115,Montenegro,2893,45.0,809,2039,94.0,2.0,70,1.56,27.96,5.56,2188,705,32.22,Europe,2893.0,1.555478741790529
116,Morocco,20887,316.0,16553,4018,609.0,3.0,115,1.51,79.25,1.91,17562,3325,18.93,Eastern Mediterranean,20887.0,1.5129027624838416
117,Mozambique,1701,11.0,0,1690,32.0,0.0,0,0.65,0.0,inf,1507,194,12.87,Africa,1701.0,0.6466784244562023
118,Namibia,1843,8.0,101,1734,68.0,0.0,26,0.43,5.48,7.92,1344,499,37.13,Africa,1843.0,0.4340748779164406
119,Nepal,18752,48.0,13754,4950,139.0,3.0,626,0.26,73.35,0.35,17844,908,5.09,South-East Asia,18752.0,0.25597269624573377
120,Netherlands,53413,6160.0,189,47064,419.0,1.0,0,11.53,0.35,3259.26,52132,1281,2.46,Europe,53413.0,11.532772920450078
121,New Zealand,1557,22.0,1514,21,0.0,0.0,1,1.41,97.24,1.45,1555,2,0.13,Western Pacific,1557.0,1.4129736673089275
122,Nicaragua,3439,108.0,2492,839,0.0,0.0,0,3.14,72.46,4.33,3147,292,9.28,Americas,3439.0,3.1404478045943587
123,Niger,1132,69.0,1027,36,0.0,0.0,0,6.1,90.72,6.72,1105,27,2.44,Africa,1132.0,6.095406360424029
124,Nigeria,41180,860.0,18203,22117,648.0,2.0,829,2.09,44.2,4.72,37225,3955,10.62,Africa,41180.0,2.0883924235065567
125,North Macedonia,10213,466.0,5564,4183,127.0,6.0,137,4.56,54.48,8.38,9249,964,10.42,Europe,10213.0,4.562812102222658
126,Norway,9132,255.0,8752,125,15.0,0.0,0,2.79,95.84,2.91,9034,98,1.08,Europe,9132.0,2.7923784494086727
127,Oman,77058,393.0,57028,19637,1053.0,9.0,1729,0.51,74.01,0.69,68400,8658,12.66,Eastern Mediterranean,77058.0,0.5100054504399283
128,Pakistan,274289,5842.0,241026,27421,1176.0,20.0,3592,2.13,87.87,2.42,266096,8193,3.08,Eastern Mediterranean,274289.0,2.1298703192618005
129,Panama,61442,1322.0,35086,25034,1146.0,28.0,955,2.15,57.1,3.77,54426,7016,12.89,Americas,61442.0,2.1516226685329256
130,Papua New Guinea,62,3497.3262032085563,11,51,0.0,0.0,0,0.0,17.74,0.0,19,43,226.32,Western Pacific,3559.3262032085563,5640.84871485251
131,Paraguay,4548,43.0,2905,1600,104.0,2.0,111,0.95,63.87,1.48,3748,800,21.34,Americas,4548.0,0.9454705364995603
132,Peru,389717,18418.0,272547,98752,13756.0,575.0,4697,4.73,69.93,6.76,357681,32036,8.96,Americas,389717.0,4.725993477318156
133,Philippines,82040,1945.0,26446,53649,1592.0,13.0,336,2.37,32.24,7.35,68898,13142,19.07,Western Pacific,82040.0,2.3707947342759628
134,Poland,43402,1676.0,32856,8870,337.0,5.0,103,3.86,75.7,5.1,40383,3019,7.48,Europe,43402.0,3.8615731993917333
135,Portugal,50299,1719.0,35375,13205,135.0,2.0,158,3.42,70.33,4.86,48771,1528,3.13,Europe,50299.0,3.417562973418955
136,Qatar,109597,165.0,106328,3104,292.0,0.0,304,0.15,97.02,0.16,107037,2560,2.39,Eastern Mediterranean,109597.0,0.1505515661925053
137,Romania,45902,2206.0,25794,17902,1104.0,19.0,151,4.81,56.19,8.55,38139,7763,20.35,Europe,45902.0,4.805890810857915
138,Russia,816680,13334.0,602249,201097,5607.0,85.0,3077,1.63,73.74,2.21,776212,40468,5.21,Europe,816680.0,1.632708037419797
139,Rwanda,1879,5.0,975,899,58.0,0.0,57,0.27,51.89,0.51,1629,250,15.35,Africa,1879.0,0.2660989888238425
140,Saint Kitts and Nevis,17,3497.3262032085563,15,2,0.0,0.0,0,0.0,88.24,0.0,17,0,0.0,Americas,3514.3262032085563,20572.507077697388
141,Saint Lucia,24,3497.3262032085563,22,2,0.0,0.0,0,0.0,91.67,0.0,23,1,4.35,Americas,3521.3262032085563,14572.192513368984
142,Saint Vincent and the Grenadines,52,3497.3262032085563,39,13,0.0,0.0,0,0.0,75.0,0.0,50,2,4.0,Americas,3549.3262032085563,6725.627313862608
143,San Marino,699,42.0,657,0,0.0,0.0,0,6.01,93.99,6.39,699,0,0.0,Europe,699.0,6.008583690987124
144,Sao Tome and Principe,865,14.0,734,117,2.0,0.0,38,1.62,84.86,1.91,746,119,15.95,Africa,865.0,1.6184971098265895
145,Saudi Arabia,268934,2760.0,222936,43238,1993.0,27.0,2613,1.03,82.9,1.24,253349,15585,6.15,Eastern Mediterranean,268934.0,1.0262741044271086
146,Senegal,9764,194.0,6477,3093,83.0,3.0,68,1.99,66.34,3.0,8948,816,9.12,Africa,9764.0,1.9868906185989348
147,Serbia,24141,543.0,0,23598,411.0,9.0,0,2.25,0.0,inf,21253,2888,13.59,Europe,24141.0,2.249285447993041
148,Seychelles,114,3497.3262032085563,39,75,0.0,0.0,0,0.0,34.21,0.0,108,6,5.56,Africa,3611.3262032085563,3067.830002814523
149,Sierra Leone,1783,66.0,1317,400,0.0,0.0,4,3.7,73.86,5.01,1711,72,4.21,Africa,1783.0,3.701626472237801
150,Singapore,50838,27.0,45692,5119,469.0,0.0,171,0.05,89.88,0.06,48035,2803,5.84,Western Pacific,50838.0,0.05310987843738935
151,Slovakia,2181,28.0,1616,537,2.0,0.0,39,1.28,74.09,1.73,1980,201,10.15,Europe,2181.0,1.2838147638697845
152,Slovenia,2087,116.0,1733,238,5.0,0.0,55,5.56,83.04,6.69,1953,134,6.86,Europe,2087.0,5.558217537134643
153,Somalia,3196,93.0,1543,1560,18.0,0.0,22,2.91,48.28,6.03,3130,66,2.11,Eastern Mediterranean,3196.0,2.909887359198999
154,South Africa,452529,7067.0,274925,170537,7096.0,298.0,9848,1.56,60.75,2.57,373628,78901,21.12,Africa,452529.0,1.5616678710093719
155,South Korea,14203,300.0,13007,896,28.0,1.0,102,2.11,91.58,2.31,13816,387,2.8,Western Pacific,14203.0,2.1122298106033934
156,South Sudan,2305,46.0,1175,1084,43.0,1.0,0,2.0,50.98,3.91,2211,94,4.25,Africa,2305.0,1.9956616052060738
157,Spain,272421,28432.0,150376,93613,0.0,0.0,0,10.44,55.2,18.91,264836,7585,2.86,Europe,272421.0,10.436787178668311
158,Sri Lanka,2805,11.0,2121,673,23.0,0.0,15,0.39,75.61,0.52,2730,75,2.75,South-East Asia,2805.0,0.39215686274509803
159,Sudan,11424,720.0,5939,4765,39.0,3.0,49,6.3,51.99,12.12,10992,432,3.93,Eastern Mediterranean,11424.0,6.302521008403361
160,Suriname,1483,24.0,925,534,44.0,1.0,35,1.62,62.37,2.59,1079,404,37.44,Americas,1483.0,1.6183412002697235
161,Sweden,79395,5700.0,0,73695,398.0,3.0,0,7.18,0.0,inf,78048,1347,1.73,Europe,79395.0,7.179293406385792
162,Switzerland,34477,1978.0,30900,1599,65.0,1.0,200,5.74,89.62,6.4,33634,843,2.51,Europe,34477.0,5.737158105403602
163,Syria,674,40.0,0,634,24.0,2.0,0,5.93,0.0,inf,522,152,29.12,Eastern Mediterranean,674.0,5.934718100890208
164,Taiwan*,462,7.0,440,15,4.0,0.0,0,1.52,95.24,1.59,451,11,2.44,Western Pacific,462.0,1.5151515151515151
165,Tajikistan,7235,60.0,6028,1147,43.0,1.0,58,0.83,83.32,1.0,6921,314,4.54,Europe,7235.0,0.82930200414651
166,Tanzania,509,21.0,183,305,0.0,0.0,0,4.13,35.95,11.48,509,0,0.0,Africa,509.0,4.12573673870334
167,Thailand,3297,58.0,3111,128,6.0,0.0,2,1.76,94.36,1.86,3250,47,1.45,South-East Asia,3297.0,1.7591750075826509
168,Timor-Leste,24,3497.3262032085563,0,24,0.0,0.0,0,0.0,0.0,0.0,24,0,0.0,South-East Asia,3521.3262032085563,14572.192513368984
169,Togo,874,18.0,607,249,6.0,0.0,8,2.06,69.45,2.97,783,91,11.62,Africa,874.0,2.059496567505721
170,Trinidad and Tobago,148,8.0,128,12,1.0,0.0,0,5.41,86.49,6.25,137,11,8.03,Americas,148.0,5.405405405405405
171,Tunisia,1455,50.0,1157,248,3.0,0.0,15,3.44,79.52,4.32,1381,74,5.36,Eastern Mediterranean,1455.0,3.436426116838488
172,Turkey,227019,5630.0,210469,10920,0.0,0.0,982,2.48,92.71,2.67,220572,6447,2.92,Europe,227019.0,2.4799686369863316
173,US,4290259,148011.0,1325804,2816444,56336.0,1076.0,27941,3.45,30.9,11.16,3834677,455582,11.88,Americas,4290259.0,3.4499315775574386
174,Uganda,1128,2.0,986,140,13.0,0.0,4,0.18,87.41,0.2,1069,59,5.52,Africa,1128.0,0.1773049645390071
175,Ukraine,67096,1636.0,37202,28258,835.0,11.0,317,2.44,55.45,4.4,60767,6329,10.42,Europe,67096.0,2.438297364969596
176,United Arab Emirates,59177,345.0,52510,6322,264.0,1.0,328,0.58,88.73,0.66,57193,1984,3.47,Eastern Mediterranean,59177.0,0.5829967723946804
177,United Kingdom,301708,45844.0,1437,254427,688.0,7.0,3,15.19,0.48,3190.26,296944,4764,1.6,Europe,301708.0,15.194824134593713
178,Uruguay,1202,35.0,951,216,10.0,1.0,3,2.91,79.12,3.68,1064,138,12.97,Americas,1202.0,2.9118136439267883
179,Uzbekistan,21209,121.0,11674,9414,678.0,5.0,569,0.57,55.04,1.04,17149,4060,23.67,Europe,21209.0,0.5705125182705455
180,Venezuela,15988,146.0,9959,5883,0.0,0.0,213,0.91,62.29,1.47,12334,3654,29.63,Americas,15988.0,0.9131848886664998
181,Vietnam,431,3497.3262032085563,365,66,0.0,0.0,0,0.0,84.69,0.0,384,47,12.24,Western Pacific,3928.3262032085563,811.444594711962
182,West Bank and Gaza,10621,78.0,3752,6791,152.0,2.0,0,0.73,35.33,2.08,8916,1705,19.12,Eastern Mediterranean,10621.0,0.7343941248470013
183,Western Sahara,10,1.0,8,1,0.0,0.0,0,10.0,80.0,12.5,10,0,0.0,Africa,10.0,10.0
184,Yemen,1691,483.0,833,375,10.0,4.0,36,28.56,49.26,57.98,1619,72,4.45,Eastern Mediterranean,1691.0,28.562980484920164
185,Zambia,4552,140.0,2815,1597,71.0,1.0,465,3.08,61.84,4.97,3326,1226,36.86,Africa,4552.0,3.0755711775043935
186,Zimbabwe,2704,3497.3262032085563,542,2126,192.0,2.0,24,1.33,20.04,6.64,1713,991,57.85,Africa,6165.326203208557,129.33898680505015
